_id,today,_Exact Location_latitude,_Exact Location_longitude,Governorat,District,Is the company registered,What is the Type of registration?,Business name:,Economic sector:,Sub-sector:,Please specify the business products and services,Phone Number,Business Phone Number (If applicable),Enterprise size in terms of number of employees:,"Enterprise size (Micro, Small, Medium, Large)",Do you have any current available vacancies?,Number of job vacancies:,Current//Types of positions available:/Interns,Current//Types of positions available:/Seasonal employees,Current//Types of positions available:/Entry level,Current//Types of positions available:/Mid-senior level,Current//Types of positions available:/Senior management level,Current//Areas of recruitment:/Customer Service Representatives,Current//Areas of recruitment:/Sales,Current//Priority areas of recruitment:/Information Technology (IT),Current//Priority areas of recruitment:/Marketing,Current//Priority areas of recruitment:/Administrative Staff,Current//Priority areas of recruitment:/Finance,Current//Priority areas of recruitment:/Operational Staff (logistics and supply chain),Current//Priority areas of recruitment:/Technical Staff,Current//Priority areas of recruitment:/Others,Current//Please specify,Do you consider youth (18-29 years) from the local community for employment?,Do you expect the need for employees in the next year?,Number of expected job vacancies:,Future//Types of positions available:/Interns,Future//Types of positions available:/Seasonal employees,Future//Types of positions available:/Entry level,Future//Types of positions available:/Mid-senior level,Future//Types of positions available:/Senior management level,Future//TOTAL,Future//Areas of recruitment:/Customer Service Representatives,Future//Areas of recruitment:/Sales,Future//Priority areas of recruitment:/Information Technology (IT),Future//Priority areas of recruitment:/Marketing,Future//Priority areas of recruitment:/Administrative Staff,Future//Priority areas of recruitment:/Finance,Future//Priority areas of recruitment:/Operational Staff (logistics and supply chain),Future//Priority areas of recruitment:/Technical Staff,Future//Priority areas of recruitment:/Others,Future//Please specify,start_date,end_date,start_time,end_time
376583994,2024-08-28,30.518655,35.5730174,Maan,Ash-Shobek,Yes,Sole proprietorship,مثلث الشوبك لأعمال الحدادة ,Manufacturing,Metal fabrication,تصنيع الأبواب /الصناعات المعدنية ,775424811,775424811,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,حداد /فني مساعد ,2024-08-28,2024-08-28,12:41:21.573000,12:51:42.280000
376583999,2024-08-28,30.5192468,35.5724441,Maan,Ash-Shobek,Yes,Sole proprietorship,محطة منذر محمد الطورة ,Service Activities,Laundry services,تزيين السيارات الأعراس /غيار زيت /تركيب أكسسوارات سيارات ,777510935,777910119,Less than 10 employees,Micro,Yes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,موظف تشغيل وتشحيم السيارات ,Yes,Yes,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,موظف تشغيل وتشحيم السيارات ,2024-08-28,2024-08-28,12:54:17.876000,13:05:22.247000
376588847,2024-08-28,30.5232534,35.5726683,Maan,Ash-Shobek,Yes,Sole proprietorship,كافتيريا ومحمص ,Wholesale and Retail Trade,Retail trade (food),موزع أغذية ,799672377,799672377,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,تحميل وتنزيل بضائع ,2024-08-28,2024-08-28,13:11:26.690000,13:19:18.807000
376617234,2024-08-28,32.5062652,35.6832193,Irbid,Koorah,Yes,Sole proprietorship,صالون البارون,"Arts, Entertainment, and Recreation",Performing arts,صالون حلاقه رجالي,777272636,777272636,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,08:33:51.800000,08:41:13.677000
376617241,2024-08-28,32.506241,35.683276,Irbid,Koorah,Yes,Sole proprietorship,محل حلويات ,Accommodation and Food Services (Tourism(,Restaurants,محل لإنتاج و عمل الحلويات,790834648,790834648,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,08:41:17.874000,08:46:13.420000
376617245,2024-08-28,32.5061166,35.6838271,Irbid,Koorah,Yes,Sole proprietorship,دراي كلين و مخيطه الملاح,Service Activities,Laundry services,مخيطه و غسل  ملابس,776875904,776875904,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,1,0,1,0,0,2,0,1,0,0,0,0,0,1,0,,2024-08-28,2024-08-28,08:46:16.774000,08:55:58.036000
376617248,2024-08-28,32.5063416,35.6833908,Irbid,Koorah,Yes,Sole proprietorship,سوبر ماركت زهره الولاء ,Accommodation and Food Services (Tourism(,Catering,سوبر ماركت ,77754533,777754533,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,08:56:18.914000,09:01:47.196000
376617251,2024-08-28,32.5054757,35.6846923,Irbid,Koorah,Yes,Sole proprietorship,حمزه سنتر,Wholesale and Retail Trade,Retail trade (furniture),محل لبيع النثريات و الأدوات المنزليه,777438879,777438877,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,09:03:37.055000,09:09:17.081000
376617252,2024-08-28,32.5052542,35.6845832,Irbid,Koorah,Yes,Sole proprietorship,البان الشهم,Accommodation and Food Services (Tourism(,Catering,محل البان و اجبان,77896963,778969637,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,09:09:20.617000,09:13:54.571000
376617257,2024-08-28,32.5052233,35.6845311,Irbid,Koorah,Yes,Sole proprietorship,محلات ابو شريعه لمواد البناء ,Construction,Residential construction,محلات لمواد البناء و بيع أغراض التمديد الصحي,775613905,775613905,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,2,0,1,0,1,0,2,0,1,0,0,0,0,1,0,0,,2024-08-28,2024-08-28,09:13:58.416000,09:18:33.551000
376617258,2024-08-28,32.5052099,35.6845312,Irbid,Koorah,Yes,Sole proprietorship,الطقه,Construction,Residential construction,محل لبيع الدهان و مستلزمات البناء ,777417022,777417022,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,09:18:36.908000,09:23:20.953000
376617263,2024-08-28,32.5049002,35.6843922,Irbid,Koorah,Yes,Sole proprietorship,مكتب المحامي هذال بني حمود ,Consulting,Management consulting,مكتب محاماه,799176871,799176871,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,2024-08-28,2024-08-28,09:23:24.376000,09:32:37.022000
376617271,2024-08-28,32.5043921,35.6841868,Irbid,Koorah,Yes,Sole proprietorship,EVA Clinic,Human Health and Social Work Activities,Clinics,عيادات تجميل ,797114234,797114234,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,3,1,1,0,0,1,3,1,0,0,0,1,1,0,0,0,,2024-08-28,2024-08-28,09:33:12.101000,09:37:38.834000
376617273,2024-08-28,32.5045525,35.6842302,Irbid,Koorah,Yes,Sole proprietorship,معرض حموده و يمان للمفروشات و الاجهزه الكهربائيه,Wholesale and Retail Trade,Retail trade (furniture),بيع الأثاث و الأدوات الكهربائيه,795488619,795488619,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,2024-08-28,2024-08-28,09:37:48.409000,09:42:25.346000
376617274,2024-08-28,32.5045416,35.6842965,Irbid,Koorah,Yes,Sole proprietorship,عياده اطفال,Human Health and Social Work Activities,Clinics,عياده أطفال و حديثي الولاده,797550909,797550909,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,,2024-08-28,2024-08-28,09:42:28.632000,09:46:21.568000
376622139,2024-08-28,32.3294624,36.3677697,Mafraq,Mafraq Al-qasabeh,No,Not Registered,سوبر ماركت ابو قصي ,Wholesale and Retail Trade,Retail trade (general merchandise),بقوليات ومواد تموينيه,772086219,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,08:36:50.273000,08:43:30.219000
376622141,2024-08-28,32.3298779,36.3678791,Mafraq,Mafraq Al-qasabeh,No,Not Registered,البان ام جمال ,Wholesale and Retail Trade,Retail trade (food),البان واجبان,,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,08:44:01.480000,08:47:45.131000
376622144,2024-08-28,32.3326402,36.3633933,Mafraq,Mafraq Al-qasabeh,No,Not Registered,السندس لمواد البناء,Construction,Residential construction,مستلزمات اولية للبناء صرف صحي ,789171400,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,08:52:16.446000,09:00:20.825000
376622147,2024-08-28,32.3136053,36.3473099,Mafraq,Mafraq Al-qasabeh,Yes,Public shareholding,المعماري للبتروكيماويات,Manufacturing,Chemical manufacturing,ابواب وشبابيك من مادة upvc,797514000,,50 to 250,Medium,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,5,0,2,1,1,1,5,0,0,1,0,1,1,1,1,0,,2024-08-28,2024-08-28,09:09:34.801000,09:24:27.180000
376622151,2024-08-28,32.3297235,36.3685842,Mafraq,Mafraq Al-qasabeh,Yes,Sole proprietorship,صيدلية احمد السعدي ,Human Health and Social Work Activities,Medical practices,ادوية طبية (صيدلية ) ,795340930,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1, صيدلاني بالاضافه موظف خدمة ,2024-08-28,2024-08-28,09:41:07.323000,09:52:35.156000
376631161,2024-08-28,31.4986536,35.7794539,Madaba,Dieban,Yes,Sole proprietorship,قناديل ذيبان,Wholesale and Retail Trade,Retail trade (general merchandise),مواد بناء,776993943,777103225,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,10:03:46.418000,10:18:49.906000
376631167,2024-08-28,31.4986624,35.7794754,Madaba,Dieban,Yes,Sole proprietorship,مؤسسة الفاروق,Wholesale and Retail Trade,Retail trade (food),مواد تموينية ,772229912,772229912,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,10:25:46.551000,10:32:17.105000
376631173,2024-08-28,31.4986399,35.7792504,Madaba,Dieban,Yes,Sole proprietorship,عمر هوم,Wholesale and Retail Trade,Retail trade (general merchandise),ادوات منزلية، مكياجات,778990514,778990514,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,10:32:43.230000,10:38:53.579000
376631180,2024-08-28,31.4986681,35.7794021,Madaba,Dieban,Yes,Sole proprietorship,صيدلية ربوع ذيبان,Human Health and Social Work Activities,Nursing homes,صيدلية,775684596,776692544,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,10:39:18.125000,11:00:41.789000
376631185,2024-08-28,31.4987442,35.7796979,Madaba,Dieban,Yes,Sole proprietorship,مطعم مهند ,Accommodation and Food Services (Tourism(,Restaurants,مطعم شعبؤ,796391647,772810912,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,11:00:59.027000,11:11:17.288000
376631191,2024-08-28,31.4989772,35.7798238,Madaba,Dieban,No,Not Registered,مكتبة شباب ذيبان,Administrative and Support Services,Office administration,مكتبة ,772374120,772374120,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,11:14:38.910000,11:25:51.450000
376631197,2024-08-28,31.4990368,35.7797105,Madaba,Dieban,No,Not Registered,تعاليل للمعسل والاراجيل,Wholesale and Retail Trade,Retail trade (general merchandise),بيع مستلزمات التدخين,775156531,775156531,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,11:29:18.188000,11:36:21.570000
376631203,2024-08-28,31.499279,35.7800935,Madaba,Dieban,Yes,Sole proprietorship,ديلر موبايل,Wholesale and Retail Trade,Retail trade (electronics),بيع اجهزة خلوية ومستلزماتها,775766812,798721233,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,11:37:39.439000,11:44:20.702000
376631209,2024-08-28,31.5000708,35.7811954,Madaba,Dieban,Yes,Sole proprietorship,بيتك ,Wholesale and Retail Trade,Retail trade (general merchandise),محل لبيع مواد التنظيف ,785372717,785372717,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,11:45:53.046000,11:53:04.753000
376631212,2024-08-28,31.4986049,35.7797769,Madaba,Dieban,Yes,Sole proprietorship,محامص جوز ولوز,Accommodation and Food Services (Tourism(,Catering,بيع المكسرات والبهارات,785995009,785995009,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,11:54:40.123000,12:01:07.563000
376631217,2024-08-28,31.500422,35.780384,Madaba,Dieban,Yes,Sole proprietorship,بوتيك رامز ,Wholesale and Retail Trade,Retail trade (apparel),بيع الملابس والعطور ,771063220,771063220,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,12:03:30.560000,12:10:13.901000
376631222,2024-08-28,31.5002227,35.7803091,Madaba,Dieban,No,Not Registered,ذيبان للفواكه والخضار,Wholesale and Retail Trade,Retail trade (food),بيع الخضار والفواكه,772004734,772004734,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,12:12:22.278000,12:18:03.373000
376631230,2024-08-28,31.5001531,35.7803266,Madaba,Dieban,Yes,Sole proprietorship,محطو مياه الهنيدي,Service Activities,Personal services,بيع المياه المعلبة ,776603048,776603048,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,12:18:35.377000,12:26:23.153000
376631236,2024-08-28,31.5001703,35.7802903,Madaba,Dieban,Yes,Sole proprietorship,دواجن الجنوب,Wholesale and Retail Trade,Retail trade (food),بيع الدواجن,776615344,776615344,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,12:27:28.584000,12:40:39.050000
376631242,2024-08-28,31.5002088,35.7803795,Madaba,Dieban,Yes,Cooperative,معرض النايف,Wholesale and Retail Trade,Retail trade (electronics),"محل كهربائيات 
سجاد ",777989596,777989596,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,12:41:59.482000,12:55:03.286000
376675016,2024-08-28,31.8927017,35.8134532,Amman,Naour,Yes,Sole proprietorship,مياه ربوع ناعور,Accommodation and Food Services (Tourism(,Catering, خدمات تزويد أهالي المنطقة بالماء وقوارير الماء ,777586200,772214514,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,13:00:39.027000,13:12:12.034000
376675024,2024-08-28,31.8927554,35.8133997,Amman,Naour,Yes,Sole proprietorship,محطة مياه أبراج طيبة,Accommodation and Food Services (Tourism(,Bars,محل لتعبئة المياه وتصنع قوارير وكاسات المياه ,772815857,,10 to 49,Small,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,13:12:53.830000,13:19:58.316000
376675031,2024-08-28,31.8931317,35.8140654,Amman,Naour,Yes,Solidarity and recommendation,شركة القيسي ,Manufacturing,Metal fabrication,تصنيع المطابخ والاباجور واعمال الزجاج والحداد ,789996662,791551518,Less than 10 employees,Micro,Yes,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,التصميم ومجال الالمنيوم,Yes,Yes,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,التصميم ومجال الالمنيوم,2024-08-28,2024-08-28,13:24:17.977000,13:33:05.596000
376675042,2024-08-28,31.8931317,35.8134789,Amman,Naour,Yes,Sole proprietorship,زهرة نيسان,Wholesale and Retail Trade,Retail trade (general merchandise),بيع وتجارة النثريات ,782043383,782043383,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,13:35:42.317000,13:41:12.207000
376675050,2024-08-28,31.8927017,35.8137672,Amman,Naour,Yes,Sole proprietorship,911 coffe,Accommodation and Food Services (Tourism(,Restaurants,كافتيريا لتقديم المشروبات ,770716738,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,13:44:21.754000,13:50:10.835000
376675058,2024-08-28,31.8927554,35.8137072,Amman,Naour,No,Not Registered,صيدلية كبسولة الشفاء,Human Health and Social Work Activities,Nursing homes,صيدلية لتقديم جميع الأدوية والخدمات التي يحتاجها المريض ,795041627,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,صيادلة,2024-08-28,2024-08-28,13:54:21.686000,14:02:48.308000
376675066,2024-08-28,31.8931317,35.8142824,Amman,Naour,Yes,Sole proprietorship,مشغل النخبة,Manufacturing,Metal fabrication,تصنيع المطابخ والشبابيك بالإضافة إلى منجرة لصناعة كافة الاثاث,770140513,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,14:06:41.666000,14:15:50.874000
376675094,2024-08-28,31.8931317,35.8165179,Amman,Naour,Yes,Non-profit organization,ناصر عاطالله,Wholesale and Retail Trade,Retail trade (food),بيع الأغذية والمشروبات,799589614,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Yes,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,14:27:51.549000,14:37:42.186000
376675104,2024-08-28,31.8927017,35.8169224,Amman,Naour,Yes,Sole proprietorship,باب جهاد الدبيسي ,Accommodation and Food Services (Tourism(,Restaurants,صناعة الخبز وبعض المخبوزات ,77904170,,Less than 10 employees,Micro,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2024-08-28,2024-08-28,14:43:42.673000,14:49:52.831000
